kankersoort	periode	geslacht	leeftijdsgroep	cr
kanker_van_de_spijsverteringsorganen	2019	Man	group:0-4	0,45
kanker_van_de_spijsverteringsorganen	2019	Man	group:10-14	0,2
kanker_van_de_spijsverteringsorganen	2019	Man	group:15-19	0,93
kanker_van_de_spijsverteringsorganen	2019	Man	group:20-24	2,54
kanker_van_de_spijsverteringsorganen	2019	Man	group:25-29	2,79
kanker_van_de_spijsverteringsorganen	2019	Man	group:30-34	6,73
kanker_van_de_spijsverteringsorganen	2019	Man	group:35-39	14,97
kanker_van_de_spijsverteringsorganen	2019	Man	group:40-44	27,85
kanker_van_de_spijsverteringsorganen	2019	Man	group:45-49	56,01
kanker_van_de_spijsverteringsorganen	2019	Man	group:50-54	113,37
kanker_van_de_spijsverteringsorganen	2019	Man	group:55-59	202,37
kanker_van_de_spijsverteringsorganen	2019	Man	group:60-64	297,17
kanker_van_de_spijsverteringsorganen	2019	Man	group:65-69	434,61
kanker_van_de_spijsverteringsorganen	2019	Man	group:70-74	554,06
kanker_van_de_spijsverteringsorganen	2019	Man	group:75-79	708,79
kanker_van_de_spijsverteringsorganen	2019	Man	group:80-84	827,75
kanker_van_de_spijsverteringsorganen	2019	Man	group:85+	720,7
kanker_van_de_spijsverteringsorganen	1989	Man	group:5-9	0,22
kanker_van_de_spijsverteringsorganen	1989	Man	group:10-14	0,65
kanker_van_de_spijsverteringsorganen	1989	Man	group:15-19	0,34
kanker_van_de_spijsverteringsorganen	1989	Man	group:20-24	1,55
kanker_van_de_spijsverteringsorganen	1989	Man	group:25-29	2,89
kanker_van_de_spijsverteringsorganen	1989	Man	group:30-34	4,74
kanker_van_de_spijsverteringsorganen	1989	Man	group:35-39	11,1
kanker_van_de_spijsverteringsorganen	1989	Man	group:40-44	29,05
kanker_van_de_spijsverteringsorganen	1989	Man	group:45-49	48,25
kanker_van_de_spijsverteringsorganen	1989	Man	group:50-54	97,64
kanker_van_de_spijsverteringsorganen	1989	Man	group:55-59	156,65
kanker_van_de_spijsverteringsorganen	1989	Man	group:60-64	263,94
kanker_van_de_spijsverteringsorganen	1989	Man	group:65-69	412,29
kanker_van_de_spijsverteringsorganen	1989	Man	group:70-74	579,74
kanker_van_de_spijsverteringsorganen	1989	Man	group:75-79	708,3
kanker_van_de_spijsverteringsorganen	1989	Man	group:80-84	902,84
kanker_van_de_spijsverteringsorganen	1989	Man	group:85+	810,53
kanker_van_de_spijsverteringsorganen	1990	Man	group:5-9	0,22
kanker_van_de_spijsverteringsorganen	1990	Man	group:10-14	0,43
kanker_van_de_spijsverteringsorganen	1990	Man	group:15-19	1,64
kanker_van_de_spijsverteringsorganen	1990	Man	group:20-24	1,86
kanker_van_de_spijsverteringsorganen	1990	Man	group:25-29	2,41
kanker_van_de_spijsverteringsorganen	1990	Man	group:30-34	5,62
kanker_van_de_spijsverteringsorganen	1990	Man	group:35-39	9,54
kanker_van_de_spijsverteringsorganen	1990	Man	group:40-44	27,77
kanker_van_de_spijsverteringsorganen	1990	Man	group:45-49	56,44
kanker_van_de_spijsverteringsorganen	1990	Man	group:50-54	90,75
kanker_van_de_spijsverteringsorganen	1990	Man	group:55-59	172,64
kanker_van_de_spijsverteringsorganen	1990	Man	group:60-64	261,11
kanker_van_de_spijsverteringsorganen	1990	Man	group:65-69	406,58
kanker_van_de_spijsverteringsorganen	1990	Man	group:70-74	546,66
kanker_van_de_spijsverteringsorganen	1990	Man	group:75-79	733,85
kanker_van_de_spijsverteringsorganen	1990	Man	group:80-84	861,5
kanker_van_de_spijsverteringsorganen	1990	Man	group:85+	795,94
kanker_van_de_spijsverteringsorganen	1991	Man	group:0-4	1,02
kanker_van_de_spijsverteringsorganen	1991	Man	group:5-9	0,22
kanker_van_de_spijsverteringsorganen	1991	Man	group:10-14	0,22
kanker_van_de_spijsverteringsorganen	1991	Man	group:15-19	1,92
kanker_van_de_spijsverteringsorganen	1991	Man	group:20-24	1,39
kanker_van_de_spijsverteringsorganen	1991	Man	group:25-29	2,69
kanker_van_de_spijsverteringsorganen	1991	Man	group:30-34	4,88
kanker_van_de_spijsverteringsorganen	1991	Man	group:35-39	13,67
kanker_van_de_spijsverteringsorganen	1991	Man	group:40-44	22,9
kanker_van_de_spijsverteringsorganen	1991	Man	group:45-49	56,08
kanker_van_de_spijsverteringsorganen	1991	Man	group:50-54	94,73
kanker_van_de_spijsverteringsorganen	1991	Man	group:55-59	179,46
